film_id,source,rank
7345,GUA,1
7345,NYT,3
843,GUA,5
843,NYT,4
1018,GUA,11
1018,NYT,2
376867,GUA,8
376867,NYT,5
85350,GUA,3
85350,NYT,23
129,GUA,22
129,NYT,9
419430,GUA,25
419430,NYT,8
120467,GUA,27
120467,NYT,22
76203,GUA,2
76203,NYT,51
9428,GUA,33
9428,NYT,21
12573,GUA,18
12573,NYT,36
106646,GUA,43
106646,NYT,20
37799,GUA,54
37799,NYT,10
25538,GUA,26
25538,NYT,40
426426,GUA,20
426426,NYT,46
146,GUA,51
146,NYT,16
60243,GUA,36
60243,NYT,33
97370,GUA,4
97370,NYT,69
496,GUA,23
496,NYT,53
142,GUA,66
142,NYT,17
6977,GUA,86
6977,NYT,6
123678,GUA,16
123678,NYT,82
80,GUA,50
80,NYT,49
374475,GUA,44
374475,NYT,59
153,GUA,77
153,NYT,30
8967,GUA,28
8967,NYT,79
21575,GUA,74
21575,NYT,35
155,GUA,98
155,NYT,28
219,GUA,46
219,NYT,80
49047,GUA,32
49047,NYT,97
398818,GUA,95
398818,NYT,37
466272,GUA,100
466272,NYT,44
161,GUA,78
161,NYT,71
8699,GUA,70
8699,NYT,85
12162,GUA,92
12162,NYT,68
24469,GUA,81
24469,NYT,91
98,GUA,94
98,NYT,92
496243,NYT,1
445,GUA,6
4960,GUA,7
38,NYT,7
326382,GUA,9
3989,GUA,10
76341,NYT,11
336050,GUA,12
467244,NYT,12
10712,GUA,13
9693,NYT,13
46207,GUA,14
16869,NYT,14
505192,GUA,15
598,NYT,15
179144,GUA,17
1391,NYT,18
72976,GUA,19
1949,NYT,19
37903,GUA,21
209274,GUA,24
152601,NYT,24
400617,NYT,25
915935,NYT,26
2757,NYT,27
129670,GUA,29
329865,NYT,29
265180,GUA,30
291270,GUA,31
1422,NYT,31
55721,NYT,32
11490,GUA,34
10681,NYT,34
311291,GUA,35
553,GUA,37
74879,GUA,38
531428,NYT,38
57120,GUA,39
391713,NYT,39
29982,GUA,40
290098,GUA,41
194,NYT,41
2009,GUA,42
68722,NYT,42
670,NYT,43
407806,GUA,45
60308,NYT,45
44754,GUA,47
786,NYT,47
25520,GUA,48
582,NYT,48
2750,GUA,49
14160,NYT,50
55,GUA,52
375262,NYT,52
377151,GUA,53
1417,NYT,54
16646,GUA,55
27205,NYT,55
119675,GUA,56
8051,NYT,56
443463,GUA,57
13785,NYT,57
9364,GUA,58
473033,NYT,58
117691,GUA,59
72105,GUA,60
244786,NYT,60
473019,GUA,61
24,NYT,61
47226,GUA,62
77,NYT,62
71859,GUA,63
773,NYT,63
9806,GUA,64
210577,NYT,64
481432,GUA,65
872585,NYT,65
314365,NYT,66
38810,GUA,67
817758,NYT,67
245700,GUA,68
346648,GUA,69
13310,NYT,70
517814,GUA,71
8885,GUA,72
258480,NYT,72
296360,GUA,73
2062,NYT,73
394117,NYT,74
205220,GUA,75
86837,NYT,75
14633,GUA,76
134,NYT,76
545611,NYT,77
965150,NYT,78
2011,GUA,79
641,GUA,80
44214,NYT,81
128216,GUA,82
11447,GUA,83
86829,NYT,83
11534,GUA,84
62215,NYT,84
491584,GUA,85
666277,NYT,86
1116,GUA,87
120,NYT,87
8882,GUA,88
44379,NYT,88
194101,GUA,89
157336,NYT,89
283330,GUA,90
121986,NYT,90
5168,GUA,91
5817,GUA,93
4566,NYT,93
180,NYT,94
660120,NYT,95
458342,GUA,96
284054,NYT,96
1777,GUA,97
501,NYT,98
29963,GUA,99
11423,NYT,99
8363,NYT,100
1018,BBC,1
843,BBC,2
7345,BBC,3
129,BBC,4
85350,BBC,5
38,BBC,6
8967,BBC,7
25538,BBC,8
60243,BBC,9
6977,BBC,10
86829,BBC,11
1949,BBC,12
9693,BBC,13
123678,BBC,14
2009,BBC,15
103328,BBC,16
1417,BBC,17
37903,BBC,18
76341,BBC,19
4960,BBC,20
120467,BBC,21
153,BBC,22
445,BBC,23
68722,BBC,24
77,BBC,25
1429,BBC,26
37799,BBC,27
64,BBC,28
10681,BBC,29
670,BBC,30
44754,BBC,31
582,BBC,32
155,BBC,33
336050,BBC,34
146,BBC,35
265228,BBC,36
38368,BBC,37
598,BBC,38
11400,BBC,39
142,BBC,40
150540,BBC,41
86837,BBC,42
62215,BBC,43
76203,BBC,44
152584,BBC,45
48303,BBC,46
265180,BBC,47
167073,BBC,48
114982,BBC,49
253450,BBC,50
27205,BBC,51
11534,BBC,52
824,BBC,53
74879,BBC,54
209274,BBC,55
23160,BBC,56
97630,BBC,57
39504,BBC,58
59,BBC,59
27904,BBC,60
97370,BBC,61
16869,BBC,62
81401,BBC,63
179144,BBC,64
24469,BBC,65
113,BBC,66
12162,BBC,67
9428,BBC,68
258480,BBC,69
128216,BBC,70
93858,BBC,71
152603,BBC,72
80,BBC,73
122081,BBC,74
171274,BBC,75
553,BBC,76
2013,BBC,77
106646,BBC,78
786,BBC,79
11190,BBC,80
76025,BBC,81
12573,BBC,82
644,BBC,83
152601,BBC,84
21575,BBC,85
10712,BBC,86
194,BBC,87
314365,BBC,88
8898,BBC,89
423,BBC,90
25376,BBC,91
4512,BBC,92
2062,BBC,93
13310,BBC,94
83666,BBC,95
12,BBC,96
46207,BBC,97
14633,BBC,98
44379,BBC,99
43434,BBC,100
641,BBC,100
374475,BBC,100
